,,"Cyclotron","BL2A",,"ISAC",,,,,,,,,"OLIS",,,,,,,
Date,Shift,Offline,"current (uA)",Offline,Exp. #,Facility,Note,"West / East","Beam","Energy (keV)","Tgt","Source","Mod",Exp. #,Facility,Note,"Beam","Energy (keV)","Source",Offline
"2016-06-10","AM",,,,"M1563","?NMR (ILE2A3)","M1539 (bNQR)","West","8,9Li","20-30","HP Ta","TRILIS","2","Test","N/A","ISAC Operator Training","16O","1500A","MWIS",,
"2016-06-10","PM",,,,"M1604","?NMR (ILE2A3)","M1539 (bNQR)","West","8,9Li","20-30","HP Ta","TRILIS","2","Test","N/A","ISAC Operator Training","16O","1500A","MWIS",,
"2016-06-11","AM",,,,"M1604","?NMR (ILE2A3)",,"West","8,9Li","20-30","HP Ta","TRILIS","2","Test","N/A","ISAC Operator Training","16O","1500A","MWIS",,
"2016-06-11","PM",,,,"M1604","?NMR (ILE2A3)",,"West","8,9Li","20-30","HP Ta","TRILIS","2","Test","N/A","ISAC Operator Training","16O","1500A","MWIS",,
"2016-06-12","AM",,,,"M1604","?NMR (ILE2A3)",,"West","8,9Li","20-30","HP Ta","TRILIS","2","Test","N/A","ISAC Operator Training","16O","1500A","MWIS",,
"2016-06-12","PM",,,,"M1587","?NMR (ILE2A3)",,"West","8,9Li","20-30","HP Ta","TRILIS","2","Test","N/A","ISAC Operator Training","16O","1500A","MWIS",,
"2016-06-13","AM",,,,"M1587","?NMR (ILE2A3)",,"West","8,9Li","20-30","HP Ta","TRILIS","2","Test","N/A","ISAC Operator Training","16O","1500A","MWIS",,
"2016-06-13","PM",,,,"M1587","?NMR (ILE2A3)",,"West","8,9Li","20-30","HP Ta","TRILIS","2","Test","N/A","ISAC Operator Training","16O","1500A","MWIS",,
"2016-06-14","AM",Maintenance,,,,,,,,,,,,"Test","N/A","ISAC Operator Training","16O","1500A","MWIS",,
"2016-06-14","PM",Maintenance,,,,,,,,,,,,"Test","N/A","ISAC Operator Training","16O","1500A","MWIS",,
"2016-06-15","AM",Maintenance,,,,,,,,,,,,,,,,,,Maintenance,
"2016-06-15","PM",,,,"TBA","?NMR (ILE2A3)",,"West","8,9Li","20-30","HP Ta","TRILIS","2",,,,,,,Maintenance,
"2016-06-16","AM",,,,"TBA","?NMR (ILE2A3)",,"West","8,9Li","20-30","HP Ta","TRILIS","2",,,,,,,Maintenance,
"2016-06-16","PM",,,,"TBA","?NMR (ILE2A3)",,"West","8,9Li","20-30","HP Ta","TRILIS","2",,,,,,,Maintenance,
"2016-06-17","AM",,,,"S841","YIELD",,"West","Sm","20-30","HP Ta","TRILIS","2",,,,,,,,
"2016-06-17","PM",,,,"S841","YIELD",,"West","Sm","20-30","HP Ta","TRILIS","2",,,,,,,,
"2016-06-18","AM",,,,"S841","YIELD",,"West","Sm","20-30","HP Ta","TRILIS","2",,,,,,,,
"2016-06-18","PM",,,,"S841","YIELD",,"West","146Tb","20-30","HP Ta","TRILIS","2",,,,,,,,
"2016-06-19","AM",,,,"S841","YIELD",,"West","146Tb","20-30","HP Ta","TRILIS","2",,,,,,,,
"2016-06-19","PM",,,,"S841","YIELD",,"West","146Tb","20-30","HP Ta","TRILIS","2",,,,,,,,
"2016-06-20","AM",,,,"S841","YIELD",,"West","168,170,172,174Ho","20-30","HP Ta","TRILIS","2","Start-up","N/A",,"78Kr",,"MCIS",,
"2016-06-20","PM",,,,"S841","YIELD",,"West","168,170,172,174Ho","20-30","HP Ta","TRILIS","2","Start-up","N/A",,"78Kr",,"MCIS",,
"2016-06-21","AM",Beam Development,,,,,,,,,,,,"Setup","TIGRESS (SEBT3A)",,"78Kr","7690A","MCIS",,
"2016-06-21","PM",,,,"S841","YIELD",,"West","168,170,172,174Ho","20-30","HP Ta","TRILIS","2","Setup","TIGRESS (SEBT3A)",,"78Kr","7690A","MCIS",,
"2016-06-22","AM",,,,"S841","YIELD",,"West","158,160,162,164,166Tm","20-30","HP Ta","TRILIS","2","S1293","TIGRESS (SEBT3A)",,"78Kr","7690A","MCIS",,
"2016-06-22","PM",,,,"S841","YIELD",,"West","158,160,162,164,166Tm","20-30","HP Ta","TRILIS","2","S1293","TIGRESS (SEBT3A)",,"78Kr","7690A","MCIS",,
